epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
121,8251.68,0.99908,1.62244,0.75027,1.1081,0,0.77345,0.63329,0.67619,0.47199,0.62981,0.49605,0.49679,0.31354,1.28118,1.87632,1.0184,1.3238,0,0.000104537,0.000104537,0.000104537
122,8316.34,0.99428,1.63369,0.75495,1.10915,0,0.76412,0.63997,0.67809,0.47495,0.632,0.49815,0.49687,0.31619,1.27624,1.87484,1.01589,1.3218,0,9.85311e-05,9.85311e-05,9.85311e-05
123,8380.68,0.99083,1.61705,0.75244,1.11418,0,0.76543,0.63746,0.67531,0.47196,0.63166,0.4966,0.49492,0.31373,1.28288,1.88053,1.01646,1.32392,0,9.2704e-05,9.2704e-05,9.2704e-05
124,8445.43,0.99712,1.6367,0.75822,1.12264,0,0.76819,0.64006,0.67821,0.47432,0.6349,0.49898,0.49883,0.31631,1.27518,1.87049,1.01418,1.32098,0,8.70577e-05,8.70577e-05,8.70577e-05
125,8509.99,0.97703,1.6011,0.7411,1.10846,0,0.76692,0.6404,0.67736,0.47284,0.63998,0.4975,0.49807,0.31548,1.27607,1.87778,1.01952,1.32529,0,8.15947e-05,8.15947e-05,8.15947e-05
126,8574.61,0.97605,1.59182,0.73314,1.107,0,0.77081,0.63507,0.675,0.47206,0.62921,0.49585,0.49605,0.31373,1.27907,1.88292,1.02039,1.32535,0,7.63174e-05,7.63174e-05,7.63174e-05
127,8639.31,0.9838,1.635,0.74365,1.1079,0,0.77298,0.63463,0.67527,0.47307,0.63613,0.49492,0.49567,0.31464,1.28231,1.88928,1.02263,1.32784,0,7.12282e-05,7.12282e-05,7.12282e-05
128,8704.12,0.98317,1.61443,0.74477,1.10944,0,0.77506,0.63602,0.67489,0.47319,0.63219,0.49797,0.49471,0.31456,1.2777,1.88628,1.01359,1.3272,0,6.63292e-05,6.63292e-05,6.63292e-05
129,8769.16,0.99478,1.62191,0.74723,1.10919,0,0.77191,0.64112,0.67996,0.47635,0.63316,0.50222,0.49893,0.31666,1.2742,1.87437,1.0064,1.32313,0,6.16227e-05,6.16227e-05,6.16227e-05
130,8833.58,0.97571,1.62232,0.73633,1.09915,0,0.77053,0.63841,0.67746,0.47419,0.63747,0.50024,0.50002,0.3173,1.27786,1.8757,1.01758,1.32309,0,5.71106e-05,5.71106e-05,5.71106e-05
131,8899.96,0.97775,1.4662,0.70389,1.11405,0,0.76161,0.62805,0.66512,0.46135,0.62117,0.48903,0.48771,0.30414,1.30021,1.93291,1.03861,1.34861,0,5.2795e-05,5.2795e-05,5.2795e-05
132,8963.92,0.94908,1.42572,0.67922,1.10481,0,0.75905,0.63577,0.67045,0.46578,0.62157,0.49282,0.48876,0.30747,1.29172,1.90249,1.02567,1.34059,0,4.86777e-05,4.86777e-05,4.86777e-05
133,9026.76,0.93324,1.4368,0.66612,1.09191,0,0.76599,0.63485,0.67138,0.4688,0.63204,0.49552,0.49327,0.31164,1.28822,1.89802,1.02424,1.33684,0,4.47606e-05,4.47606e-05,4.47606e-05
134,9090.64,0.92892,1.42897,0.65098,1.08328,0,0.76767,0.63544,0.6712,0.46837,0.62489,0.49868,0.49307,0.31219,1.29339,1.90014,1.02283,1.33986,0,4.10454e-05,4.10454e-05,4.10454e-05
135,9153.18,0.93104,1.38969,0.64984,1.08728,0,0.77145,0.63526,0.67226,0.46952,0.62492,0.49986,0.49267,0.31253,1.28983,1.89891,1.01705,1.33842,0,3.75337e-05,3.75337e-05,3.75337e-05
136,9215.77,0.9254,1.4075,0.64509,1.08386,0,0.76965,0.63683,0.67394,0.47127,0.62396,0.50203,0.49556,0.31441,1.28292,1.89177,1.01845,1.33573,0,3.4227e-05,3.4227e-05,3.4227e-05
137,9278.12,0.92331,1.4333,0.64436,1.07972,0,0.77202,0.6324,0.67238,0.47106,0.62548,0.49652,0.49281,0.31376,1.28851,1.89956,1.02231,1.33862,0,3.11268e-05,3.11268e-05,3.11268e-05
138,9341.21,0.91993,1.4258,0.64465,1.07262,0,0.77538,0.63151,0.67173,0.47053,0.62275,0.49607,0.49044,0.31273,1.28943,1.89981,1.0251,1.33959,0,2.82345e-05,2.82345e-05,2.82345e-05
139,9404.06,0.91857,1.40209,0.64434,1.07884,0,0.77122,0.63622,0.67321,0.47186,0.6252,0.49966,0.49298,0.31476,1.28648,1.89412,1.01715,1.33881,0,2.55513e-05,2.55513e-05,2.55513e-05
140,9466.07,0.91194,1.41566,0.64116,1.07403,0,0.77264,0.63533,0.67297,0.47198,0.62643,0.49758,0.49358,0.31467,1.28827,1.89656,1.02016,1.33894,0,2.30784e-05,2.30784e-05,2.30784e-05
141,9528,0.90972,1.40702,0.62925,1.06712,0,0.77575,0.63479,0.67429,0.472,0.63038,0.49597,0.49463,0.31446,1.28704,1.88969,1.01933,1.3377,0,2.08169e-05,2.08169e-05,2.08169e-05
142,9590.48,0.9069,1.39953,0.62909,1.0669,0,0.77338,0.63415,0.67328,0.47062,0.62655,0.49647,0.49323,0.31302,1.28803,1.8953,1.01971,1.34067,0,1.87678e-05,1.87678e-05,1.87678e-05
143,9652.45,0.89099,1.38195,0.62395,1.0694,0,0.7762,0.63398,0.67234,0.47109,0.62796,0.49719,0.49352,0.31431,1.28795,1.89481,1.02371,1.3409,0,1.6932e-05,1.6932e-05,1.6932e-05
144,9714.6,0.90332,1.40226,0.62786,1.07325,0,0.77635,0.63311,0.67237,0.47079,0.62707,0.4969,0.49384,0.31402,1.28833,1.89769,1.02432,1.3422,0,1.53102e-05,1.53102e-05,1.53102e-05
145,9776.76,0.90414,1.40094,0.62569,1.06412,0,0.77232,0.63425,0.67253,0.47074,0.62724,0.49769,0.49381,0.31392,1.28804,1.89618,1.02006,1.34203,0,1.39032e-05,1.39032e-05,1.39032e-05
146,9839.04,0.90186,1.38852,0.62753,1.07504,0,0.7759,0.6346,0.67314,0.47159,0.62492,0.50016,0.49417,0.31504,1.28729,1.8958,1.01952,1.34127,0,1.27117e-05,1.27117e-05,1.27117e-05
147,9901.22,0.89414,1.39237,0.61717,1.05875,0,0.77649,0.63397,0.67266,0.47112,0.62704,0.49709,0.49279,0.31399,1.28842,1.89781,1.02335,1.34338,0,1.1736e-05,1.1736e-05,1.1736e-05
148,9963.33,0.89488,1.34155,0.6208,1.06782,0,0.77273,0.63574,0.67333,0.47196,0.62465,0.4983,0.49291,0.31477,1.28678,1.89329,1.02055,1.34194,0,1.09768e-05,1.09768e-05,1.09768e-05
149,10025.1,0.90074,1.40176,0.62446,1.07194,0,0.77247,0.63667,0.67334,0.47205,0.62996,0.49732,0.49318,0.31492,1.28633,1.89454,1.02012,1.34158,0,1.04342e-05,1.04342e-05,1.04342e-05
150,10087,0.89818,1.38034,0.62255,1.06944,0,0.77294,0.63616,0.67344,0.47162,0.63028,0.49756,0.49312,0.31433,1.28607,1.89569,1.01877,1.34323,0,1.01086e-05,1.01086e-05,1.01086e-05
